,지역명,동,평균,승차건수
415,서울특별시 강동구 암사3동,암사3동,44.16666667,7.0
416,서울특별시 강동구 천호1동,천호1동,138.5,1467.0
417,서울특별시 강동구 천호3동,천호3동,144.0,1947.0
418,서울특별시 강동구 성내1동,성내1동,69.83333333,611.0
419,서울특별시 강동구 성내2동,성내2동,109.5,2933.0
420,서울특별시 강동구 성내3동,성내3동,90.16666667,923.0
421,서울특별시 강동구 둔촌1동,둔촌1동,15.33333333,0.0
422,서울특별시 강동구 둔촌2동,둔촌2동,86.66666667,45155.0
423,서울특별시 강동구 암사1동,암사1동,186.83333330000002,5349.0
424,서울특별시 강동구 천호2동,천호2동,202.0,21089.0
425,서울특별시 강동구 길동,길동,211.66666669999998,32718.0
426,서울특별시 구로구 항동,항동,49.0,0.0
